x,y
159.884,-0.21394
159.937,0.0536529
160.237,0.299807
160.705,0.4678
161.226,0.521041
161.677,0.45093
161.955,0.27794
162.001,0.0458632
161.812,-0.189179
161.439,-0.372245
160.977,-0.462351
160.535,-0.441572
160.217,-0.318452
160.092,-0.125131
160.183,0.0909439
160.461,0.278596
160.856,0.394987
161.272,0.415335
161.61,0.338093
161.794,0.184537
161.787,-0.00695827
161.597,-0.190447
161.274,-0.323382
160.897,-0.37643
160.557,-0.339876
160.332,-0.225236
160.27,-0.0618624
160.381,0.1105
160.632,0.251334
160.961,0.328829
161.288,0.327013
161.537,0.248956
161.652,0.11541
161.612,-0.0406128
161.43,-0.181959
161.153,-0.276136
160.851,-0.302742
160.593,-0.257822
160.439,-0.15424
160.421,-0.0181222
160.538,0.117687
160.76,0.221509
161.03,0.270185
161.284,0.254195
161.464,0.179426
161.529,0.0652833
161.469,-0.0602877
161.301,-0.167606
161.069,-0.232239
160.828,-0.240528
160.636,-0.192418
160.535,-0.101014
160.546,0.0109132
160.662,0.116563
160.854,0.191493
161.073,0.219244
161.268,0.194913
161.394,0.125913
161.424,0.0298334
161.354,-0.0700045
161.203,-0.15018
161.011,-0.192641
160.822,-0.188737
160.681,-0.140925
160.619,-0.0618236
160.648,0.0290664
160.759,0.110145
160.921,0.16282
161.097,0.175748
161.244,0.147237
161.33,0.0853214
161.335,0.00556132
161.262,-0.0728378
161.131,-0.131628
160.973,-0.157746
160.827,-0.146185
160.726,-0.1009
160.692,-0.0335813
160.732,0.0393292
160.832,0.100633
160.969,0.136411
161.108,0.139168
161.217,0.109361
161.272,0.0550294
161.262,-0.0103313
161.191,-0.0711026
161.078,-0.113258
160.95,-0.127581
160.838,-0.111658
160.768,-0.0702117
160.754,-0.0137646
160.798,0.0440126
160.888,0.0895943
161.001,0.112751
161.11,0.108828
161.189,0.0796418
161.222,0.0328457
161.202,-0.0200545
161.135,-0.0665121
161.04,-0.0959015
160.938,-0.101934
160.854,-0.0839813
160.807,-0.0470311
160.806,-0.000338682
160.851,0.0448764
160.929,0.0781131
161.021,0.0920155
161.105,0.0839843
161.162,0.0566244
161.179,0.0169642
161.154,-0.0253324
161.093,-0.0603082
161.013,-0.0800462
160.933,-0.0804488
160.871,-0.0620666
160.841,-0.029815
160.849,0.00831844
160.892,0.0432398
160.959,0.0669078
161.033,0.074175
161.097,0.0638926
161.136,0.0390445
161.142,0.00591441
161.115,-0.0274914
161.061,-0.053369
160.996,-0.0659313
160.933,-0.0626909
160.888,-0.0449306
160.871,-0.0172785
160.884,0.0134835
160.924,0.040074
160.981,0.0564275
161.04,0.0590694
161.088,0.0478405
161.113,0.025823
161.112,-0.00148586
161.084,-0.0275378
161.038,-0.0462958
160.984,-0.0536262
160.936,-0.0481995
160.904,-0.0317071
160.896,-0.00836616
160.912,0.0161489
160.948,0.0360787
160.995,0.0469258
161.042,0.046462
161.077,0.0351725
161.093,0.0160524
161.087,-0.00617588
161.061,-0.0262222
161.021,-0.0394818
160.978,-0.043087
160.941,-0.0365184
160.92,-0.0216478
160.918,-0.00222169
160.935,0.0170752
160.966,0.0317447
161.005,0.0385181
161.041,0.0360782
161.066,0.0253013
161.075,0.00898005
161.066,-0.00889251
161.042,-0.0240944
161.009,-0.0331675
160.975,-0.0341991
160.948,-0.0272166
160.934,-0.0141162
160.935,0.00184126
160.952,0.0168372
160.98,0.0274046
161.011,0.0312253
161.039,0.0276328
161.056,0.0177124
161.06,0.00398973
161.05,-0.0102064
161.029,-0.0215478
161.001,-0.0274834
160.974,-0.0268083
160.954,-0.0199005
160.946,-0.00857942
160.95,0.00436611
160.966,0.0158614
160.989,0.0232725
161.014,0.0250063
161.035,0.0208475
161.047,0.0119629
161.048,0.00058317
161.037,-0.0105533
161.018,-0.0188562
160.996,-0.0224825
160.975,-0.020742
160.961,-0.0142197
160.956,-0.00459694
160.962,0.00577772
160.976,0.0144584
160.996,0.0194761
